player_id,player_name,position,recent_team,wk1_opp,wk1_points,wk1_vorp,matchup_mult,base_pg,projected_season_points,wk1_overall_rank,wk1_pos_rank,overall_rank
00-0035298,Scott Miller,WR,PIT,ATL,3.38,-9.14,1.12,3.0176470588235293,51.3,628,221,746
SLP-13392,Jeff Caldwell,WR,KC,DEN,3.37,-9.15,1.044154370034052,3.2235294117647055,54.8,629,224,671
SLP-13916,Xavier Loyd,WR,KC,DEN,3.37,-9.15,1.044154370034052,3.2235294117647055,54.8,630,227,712
SLP-14067,Jeff Weimer,WR,KC,DEN,3.37,-9.15,1.044154370034052,3.2235294117647055,54.8,631,228,726
SLP-13904,Jacob De Jesus,WR,KC,DEN,3.37,-9.15,1.044154370034052,3.2235294117647055,54.8,632,225,710
SLP-13905,Omari Evans,WR,KC,DEN,3.37,-9.15,1.044154370034052,3.2235294117647055,54.8,633,226,711
00-0040298,Andrew Armstrong,WR,KC,DEN,3.37,-9.15,1.044154370034052,3.2235294117647055,54.8,634,223,627
00-0040120,Jimmy Holiday,WR,KC,DEN,3.37,-9.15,1.044154370034052,3.2235294117647055,54.8,635,222,623
00-0036527,DJ Turner,WR,LV,MIA,3.35,-9.17,1.068787398688018,3.135294117647059,53.3,636,229,737
00-0040024,Darius Cooper,WR,PHI,WAS,3.35,-9.17,1.102516596179278,3.0352941176470587,51.6,637,230,745
00-0033589,David Moore,WR,CAR,CHI,3.33,-9.19,1.12,2.9705882352941178,50.5,638,231,748
00-0033439,Pharaoh Brown,TE,IND,BAL,0.78,-9.2,0.88,0.8823529411764706,15.0,639,199,570
00-0040366,Hal Presley,WR,TEN,NYJ,3.31,-9.21,1.0262592801120816,3.2235294117647055,54.8,640,234,633
00-0036345,K.J. Osborn,WR,TEN,NYJ,3.31,-9.21,1.0262592801120816,3.2235294117647055,54.8,641,232,589
00-0037055,Lance McCutcheon,WR,TEN,NYJ,3.31,-9.21,1.0262592801120816,3.2235294117647055,54.8,642,233,593
SLP-13776,Hank Beatty,WR,TEN,NYJ,3.31,-9.21,1.0262592801120816,3.2235294117647055,54.8,643,236,697
SLP-13600,Tyren Montgomery,WR,TEN,NYJ,3.31,-9.21,1.0262592801120816,3.2235294117647055,54.8,644,235,675
00-0040053,Tyrone Broden,WR,SEA,NE,3.27,-9.25,1.015730034955633,3.2235294117647055,54.8,645,238,620
SLP-13336,Dane Key,WR,DEN,KC,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,646,243,666
SLP-13325,Jordan Hudson,WR,DAL,NYG,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,647,242,664
00-0040048,Traeshon Holden,WR,DAL,NYG,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,648,237,618
SLP-13313,Emmanuel Henderson,WR,SEA,NE,3.27,-9.25,1.015730034955633,3.2235294117647055,54.8,649,241,661
SLP-13981,Kolbe Katsis,WR,DEN,KC,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,650,247,719
SLP-14037,Rashad Rochelle,WR,SEA,NE,3.27,-9.25,1.015730034955633,3.2235294117647055,54.8,651,248,722
00-0040653,Ricky White III,WR,SEA,NE,3.27,-9.25,1.015730034955633,3.2235294117647055,54.8,652,240,651
00-0034073,Ross Dwelley,TE,DET,NO,0.73,-9.25,0.9519861753621377,0.7647058823529411,13.0,653,200,577
SLP-13744,Cameron Ross,WR,DEN,KC,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,654,246,693
SLP-13743,Joseph Manjack,WR,DEN,KC,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,655,245,692
SLP-13726,Camden Brown,WR,DAL,NYG,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,656,244,691
00-0037755,Jelani Woods,TE,NYJ,TEN,0.73,-9.25,1.0470841445335526,0.7000000000000001,11.9,657,201,578
00-0040621,Montorie Foster Jr,WR,SEA,NE,3.27,-9.25,1.015730034955633,3.2235294117647055,54.8,658,239,650
SMI038569,Anthony Smith,WR,DAL,NYG,3.27,-9.25,1.014317887211449,3.2235294117647055,54.8,659,249,729
00-0040597,Brennan Presley,WR,LA,SF,3.26,-9.26,1.010515829090104,3.2235294117647055,54.8,660,251,646
DAN490797,CJ Daniels,WR,LA,SF,3.26,-9.26,1.010515829090104,3.2235294117647055,54.8,661,254,658
00-0040603,Mario Williams,WR,LA,SF,3.26,-9.26,1.010515829090104,3.2235294117647055,54.8,662,252,647
00-0040609,Tru Edwards,WR,LA,SF,3.26,-9.26,1.010515829090104,3.2235294117647055,54.8,663,253,648
00-0038941,Tyler Scott,WR,LA,SF,3.26,-9.26,1.010515829090104,3.2235294117647055,54.8,664,250,602
00-0036955,Terrace Marshall Jr.,WR,MIA,LV,3.25,-9.27,1.0084519398216647,3.2235294117647055,54.8,665,256,592
SLP-13973,Keelan Marion,WR,ATL,PIT,3.25,-9.27,1.0074913277732673,3.2235294117647055,54.8,666,261,718
00-0037741,Jahan Dotson,WR,ATL,PIT,3.25,-9.27,1.0074913277732673,3.2294117647058824,54.9,667,255,584
SLP-13338,Kevin Coleman,WR,MIA,LV,3.25,-9.27,1.0084519398216647,3.2235294117647055,54.8,668,258,667
SLP-13343,Vinny Anthony,WR,ATL,PIT,3.25,-9.27,1.0074913277732673,3.2235294117647055,54.8,669,259,668
00-0040302,A.J. Henning,WR,MIA,LV,3.25,-9.27,1.0084519398216647,3.2235294117647055,54.8,670,257,628
SLP-13409,Donaven McCulley,WR,MIA,LV,3.25,-9.27,1.0084519398216647,3.2235294117647055,54.8,671,260,672
SLP-13477,Colbie Young,WR,CIN,TB,3.24,-9.28,1.003633483037199,3.2235294117647055,54.8,672,266,674
00-0039473,Xavier Johnson,WR,CIN,TB,3.24,-9.28,1.003633483037199,3.2235294117647055,54.8,673,263,611
00-0040375,Jordan Moore,WR,CIN,TB,3.24,-9.28,1.003633483037199,3.2235294117647055,54.8,674,264,634
00-0037422,Kendric Pryor,WR,CIN,TB,3.24,-9.28,1.003633483037199,3.2235294117647055,54.8,675,262,596
SLP-13318,Noah Thomas,WR,CIN,TB,3.24,-9.28,1.003633483037199,3.2235294117647055,54.8,676,265,663
00-0040218,Jimmy Horn Jr.,WR,CAR,CHI,3.22,-9.3,1.12,2.8705882352941177,48.8,677,272,755
SLP-13670,Harrison Wallace,WR,ARI,LAC,3.22,-9.3,1.0004059340172706,3.2235294117647055,54.8,678,270,686
VIR271235,Reggie Virgil,WR,ARI,LAC,3.22,-9.3,1.0004059340172706,3.2235294117647055,54.8,679,271,732
