adp_rank,player_name,position,team,sleeper_id,age,years_exp
182,Mike Washington,RB,LV,13305,23.0,0
183,Eli Stowers,TE,PHI,13349,23.0,0
184,Ty Simpson,QB,LAR,13275,23.0,0
185,Terrance Ferguson,TE,LAR,12487,23.0,1
186,Kimani Vidal,RB,LAC,11647,24.0,2
187,Chris Rodriguez,RB,JAX,10219,26.0,3
188,Theo Johnson,TE,NYG,11597,25.0,2
189,Tyreek Hill,WR,,3321,31.0,10
190,Omar Cooper,WR,NYJ,13276,22.0,0
191,Tank Bigsby,RB,PHI,9225,23.0,3
192,Cade Otton,TE,TB,8111,27.0,4
193,Keaton Mitchell,RB,LAC,9511,24.0,3
194,Noah Brown,WR,,4234,30.0,9
195,Isiah Pacheco,RB,DET,8205,27.0,4
196,Brandin Cooks,WR,,2197,32.0,12
197,Gunnar Helm,TE,TEN,12502,23.0,1
198,Sean Tucker,RB,TB,9506,24.0,3
199,Antonio Williams,WR,WAS,13301,21.0,0
200,Kaytron Allen,RB,WAS,13405,23.0,0
201,Jerry Jeudy,WR,CLE,6783,27.0,6
202,Emanuel Wilson,RB,SEA,11435,27.0,3
203,Alshon Jeffery,WR,,1149,31.0,10
204,Rashid Shaheed,WR,SEA,8676,27.0,4
205,Adonai Mitchell,WR,NYJ,11625,23.0,2
206,Adam Thielen,WR,,1689,35.0,13
207,Kayshon Boutte,WR,NE,9504,24.0,3
208,Jalen McMillan,WR,TB,11618,24.0,2
209,Ray Davis,RB,BUF,11575,26.0,2
210,Nicholas Singleton,RB,TEN,13288,22.0,0
211,Dan Bailey,K,,899,33.0,11
212,Devin Neal,RB,NO,12476,22.0,1
213,Troy Franklin,WR,DEN,11627,23.0,2
214,Pat Bryant,WR,DEN,12492,23.0,1
215,Kaleb Johnson,RB,PIT,12504,22.0,1
216,Jaylen Wright,RB,MIA,11643,23.0,2
217,Chimere Dike,WR,TEN,12540,24.0,1
218,Demond Claiborne,RB,MIN,13347,22.0,0
219,Ben Roethlisberger,QB,PIT,138,39.0,18
220,Brandon Aiyuk,WR,SF,6803,28.0,6
221,Jake Tonges,TE,SF,8698,26.0,4
222,Tre' Harris,WR,LAC,12509,24.0,1
223,Calvin Ridley,WR,TEN,4981,31.0,8
224,Kendre Miller,RB,NO,9757,24.0,3
225,Brashard Smith,RB,KC,12455,23.0,1
226,Justin Tucker,K,,1264,35.0,13
227,Ja'Kobi Lane,WR,BAL,13293,22.0,0
228,Tua Tagovailoa,QB,ATL,6768,28.0,6
229,Amari Cooper,WR,,2309,31.0,10
230,Isaac TeSlaa,WR,DET,12535,24.0,1
231,Elic Ayomanor,WR,TEN,12499,23.0,1
232,Zachariah Branch,WR,ATL,13320,22.0,0
233,Tank Dell,WR,HOU,9502,26.0,3
234,Frank Gore,RB,,232,38.0,17
235,Tre Tucker,WR,LV,10213,25.0,3
236,Jaydon Blue,RB,DAL,12457,22.0,1
237,Jaylin Noel,WR,HOU,12536,23.0,1
238,Audric Estime,RB,NO,11579,22.0,2
239,Jarquez Hunter,RB,LAR,11569,23.0,1
240,Marvin Mims,WR,DEN,9494,24.0,3
241,Darnell Mooney,WR,NYG,7090,28.0,6
242,Germie Bernard,WR,PIT,13274,22.0,0
243,Kyle Williams,WR,NE,12547,23.0,1
244,Ted Hurst,WR,TB,13317,22.0,0
245,Jalen Nailor,WR,LV,8180,27.0,4
246,Tyrell Williams,WR,,2583,29.0,7
247,Michael Penix,QB,ATL,11559,26.0,2
248,Tory Horton,WR,SEA,12497,23.0,1
249,Ryan Flournoy,WR,DAL,11783,26.0,2
250,Chris Carson,RB,,4273,27.0,5
251,J.J. McCarthy,QB,MIN,11565,23.0,2
252,Derek Carr,QB,,2028,34.0,11
253,Jacoby Brissett,QB,ARI,3257,33.0,10
254,Mike Davis,RB,,2431,29.0,7
255,Elijah Sarratt,WR,BAL,13268,23.0,0
256,Chris Brazzell,WR,CAR,13353,22.0,0
257,Joshua Dobbs,QB,,4179,31.0,9
258,Rashod Bateman,WR,BAL,7571,26.0,5
259,Chris Bell,WR,MIA,13311,22.0,0
260,Cooper Kupp,WR,SEA,4039,33.0,9
261,Keon Coleman,WR,BUF,11637,23.0,2
262,Jonnu Smith,TE,,4144,30.0,9
263,Jack Bech,WR,LV,12483,23.0,1
264,Devaughn Vele,WR,NO,11834,28.0,2
265,Christian Kirk,WR,SF,4950,29.0,8
266,Malachi Fields,WR,NYG,13285,22.0,0
267,Michael Trigg,TE,DAL,13401,24.0,0
268,Dontrelle Inman,WR,,2291,32.0,11
269,Max Klare,TE,LAR,13278,22.0,0
270,Joe Mixon,RB,,4018,29.0,9
271,De'Zhaun Stribling,WR,SF,13417,23.0,0
272,A.J. Green,WR,,830,34.0,12
273,Blake Jarwin,TE,,4571,27.0,5
274,Jimmy Garoppolo,QB,,1837,34.0,12
275,Najee Harris,RB,,7528,27.0,5
276,Cam Newton,QB,,954,32.0,11
277,Robbie Gould,K,,49,40.0,18
278,Shedeur Sanders,QB,CLE,12524,24.0,1
279,Kenny Golladay,WR,,4131,29.0,6
280,Michael Thomas,WR,,3199,31.0,8
281,Titus Swen,RB,,9507,,1
282,Leonard Fournette,RB,,3969,28.0,7
283,Le'Veon Bell,RB,TB,1408,29.0,9
284,Jerick McKinnon,RB,,2161,32.0,10
285,Kareem Hunt,RB,,4098,30.0,9
286,Tyler Boyd,WR,,3225,30.0,9
